"edad","ingreso_total","nivel_estudio","tamaño_hogar"
71,4900497,5,6
26,4444324,1,3
37,4001500,1,2
72,4072905,4,1
67,4577405,1,5
31,4160735,1,1
67,3998525,4,1
24,3114709,5,5
28,5147847,2,3
76,3856129,1,3
44,2563064,4,1
37,4577799,2,6
42,4060251,1,4
38,4797684,3,6
65,4976728,4,4
48,4022420,4,2
28,3711361,2,2
78,3415913,5,3
75,4009899,3,2
41,2596946,4,6
43,4092497,4,1
24,4541445,3,6
66,5335261,5,4
71,5201712,2,2
66,3613361,3,3
68,5750624,4,6
40,4406986,2,2
55,4334214,2,6
37,3093885,3,6
36,3125062,3,2
56,5190006,3,3
43,5165069,2,4
76,3936191,4,5
32,3194742,2,1
75,3422707,5,2
67,3437721,3,4
72,3312719,1,1
35,3833439,4,5
43,3290828,4,2
60,3910213,4,3
79,3951630,3,4
29,5037565,5,4
18,3507429,1,1
50,3431520,2,4
45,4178983,1,1
55,4291616,5,6
38,3555772,3,2
20,4485920,5,1
31,3473370,4,1
39,4003922,1,2
31,4352550,5,6
24,4133774,2,4
64,4522971,5,6
18,3323874,2,1
39,2161977,4,5
80,4592254,5,4
75,4943265,5,6
44,4502406,1,3
31,4783205,4,3
70,3929142,5,3
53,3777041,3,3
60,3469124,2,3
69,4103635,3,6
28,4882115,1,4
32,3129866,5,4
29,4704040,1,4
64,4186878,2,6
58,2964700,3,4
37,2902436,1,2
33,2845454,2,6
58,2866253,3,5
72,5259149,3,3
60,3556602,5,5
74,5102702,2,5
64,3674931,2,5
50,3511565,2,6
44,3931219,3,4
67,4339037,3,6
39,4768544,5,1
60,3373835,4,6
34,2891523,5,4
30,4353553,5,1
42,4847485,4,5
80,4334234,3,1
36,4246255,3,5
67,3700539,1,2
44,4499690,4,1
70,3758146,1,4
54,5312998,1,2
75,4860994,5,6
51,2717915,5,3
35,3812909,2,4
42,4002752,5,3
72,4541877,1,2
20,4425116,4,6
22,4337427,4,6
29,3891257,5,5
74,3803476,3,5
31,2426066,3,3
31,3078183,4,4
63,5187350,2,4
57,4770901,3,2
18,5771959,5,5
23,2623359,2,1
74,4129677,3,2
52,4181319,1,5
54,2615892,1,4
57,4694014,1,3
66,3797201,3,2
57,5416763,5,3
71,3493045,4,2
40,4008310,5,4
44,3252912,1,5
66,5107697,5,1
71,3173181,1,6
32,1706765,4,1
39,4448619,1,5
62,3468277,4,6
74,4274366,3,5
41,5985169,3,2
64,3659393,5,4
50,4211882,3,6
72,4701595,1,5
51,3707042,4,2
68,2663276,1,5
70,2692313,4,1
69,4987626,3,6
50,2891473,5,1
56,2650671,5,1
40,3991361,2,3
52,3402604,5,5
51,4282128,5,4
21,3616396,1,2
44,2634272,1,4
63,2987804,4,2
34,3738186,4,2
28,5473656,2,5
57,4097974,2,4
74,4328432,2,6
79,3512760,3,6
50,4809155,5,3
74,2424828,5,4
54,2988444,1,3
73,2791886,2,1
62,2844469,1,2
35,3070503,2,2
26,4103525,1,6
18,4830481,4,5
68,4400836,3,4
35,3620895,5,4
31,4301570,4,1
62,5207090,4,3
75,3723230,2,4
23,2981679,3,4
62,4170734,5,1
49,2681992,4,1
70,4442440,4,5
36,4253902,3,5
25,4263442,4,6
20,3719044,5,5
32,3441823,2,4
35,3071192,3,6
64,5216926,4,3
40,5155351,5,1
41,3285400,4,2
45,3065582,2,3
60,4469814,1,6
25,3257887,1,5
56,3474556,4,3
22,5536452,5,2
70,3706065,1,2
48,2956066,2,4
44,5142985,5,4
33,3496012,2,6
58,5414038,4,1
68,2700747,4,6
64,3246265,5,1
36,3886266,2,1
31,3548240,2,6
69,3779185,1,6
28,5189724,3,4
62,3749646,4,3
24,3210466,2,2
60,3521579,1,2
72,3553601,3,3
62,5553848,2,5
47,3876651,3,1
27,2529089,5,5
78,5273313,1,5
22,2281645,4,1
64,3726754,1,2
58,4869861,3,6
49,3778136,4,1
37,4533953,2,5
25,3874269,5,3
28,4260504,1,2
23,4671847,4,1
19,2994116,4,2
38,3368674,3,4
38,3825625,4,5
75,5935891,3,3
67,4301479,2,1
18,4239171,2,4
43,3447727,3,5
32,4179684,1,4
71,4473314,1,3
55,5140940,5,3
76,3112934,5,2
78,3772298,4,5
69,4678626,2,3
53,4342941,5,5
34,4580547,2,2
78,3983313,5,5
56,3386458,5,3
20,4672283,4,3
37,3435724,5,6
35,3567226,3,2
66,4757367,5,3
48,3660451,2,3
54,5356861,5,1
28,3823083,2,2
31,3860403,5,3
44,2896243,4,3
23,2854778,4,4
24,3017175,5,4
78,3648284,2,1
73,4933404,4,1
49,3756387,5,3
48,5109528,5,4
73,4611932,3,6
48,5018988,5,1
42,3861334,5,5
59,3696768,1,3
40,4107473,5,6
36,3484977,4,2
51,5200984,1,5
77,1323867,4,4
72,2969944,1,5
59,4363061,2,6
47,3581762,5,5
74,2674557,2,5
51,3348610,1,1
39,4622828,3,1
29,4251748,1,2
79,3304065,3,3
35,4134229,4,5
42,5100192,5,5
26,4501667,3,5
21,4466533,5,3
27,3470454,2,4
68,3866021,3,5
65,3325366,3,1
26,3753940,5,3
43,4468653,1,3
55,3875912,4,1
78,3965043,5,4
57,4937518,2,4
74,3778727,3,3
46,3301687,4,4
32,4097009,5,6
32,4587023,2,5
63,4352092,5,2
38,4095599,3,3
66,3825712,3,5
43,2809532,4,4
24,3448326,5,5
75,3688868,2,4
52,5792401,4,4
31,3788832,4,5
27,2223406,2,1
80,4406386,4,3
48,4003201,3,5
72,4279724,3,6
26,4349202,1,4
23,4435640,4,2
69,4965763,3,5
49,4205914,1,4
72,4948736,3,3
46,4499821,3,1
27,5302015,4,2
20,3766395,4,6
77,4997214,4,5
59,3785131,2,3
45,4753736,4,3
28,4037307,3,4
69,3329324,3,2
43,3665873,2,3
33,4582051,5,6
22,2693176,4,5
23,3696396,5,6
55,4338119,5,5
51,3571853,2,6
40,3721915,2,2
47,4108437,1,6
32,3530377,3,2
80,2936772,5,5
69,4471220,3,3
18,5243844,4,6
72,5378586,5,4
59,3497365,2,4
51,4655185,3,6
53,3085521,3,3
22,3890317,2,5
43,3998504,2,6
53,4936832,3,6
70,4674900,4,3
78,4631208,4,2
32,4762369,4,2
23,5012154,3,4
33,3781311,2,2
19,4275959,1,5
73,5107717,4,4
56,4946787,1,6
20,4227996,3,1
69,3780225,5,1
74,2964870,2,2
77,3220489,2,2
52,3541003,1,3
37,3755906,5,6
42,4180999,5,3
67,3559880,1,4
71,3388527,5,4
60,4058592,2,3
63,4420599,5,1
45,4051407,3,1
60,3960037,3,4
37,4698751,3,1
53,4204659,4,4
62,3464847,4,1
41,5561082,5,3
36,4885912,1,1
45,5484513,4,2
62,3387397,5,4
52,4241527,2,2
63,3896193,4,1
61,4277003,1,4
66,5002354,4,3
61,4480883,5,2
76,3027429,3,1
73,2683486,4,4
54,4544241,4,3
68,4650236,2,5
45,3013433,4,4
54,3962838,3,4
80,3706724,3,2
27,4575212,3,5
80,3871154,4,6
62,4113646,2,5
69,3745495,1,5
22,5296102,1,5
63,3750533,4,1
78,4576317,5,5
32,3173947,3,5
22,3331226,5,6
34,2980775,2,6
41,5689669,4,6
56,3343448,2,1
39,3422376,4,3
60,3394201,2,2
67,2726291,5,6
38,4621481,4,2
69,4238876,1,2
66,2644059,5,5
36,3134616,5,5
41,3417784,4,5
64,4642018,4,3
60,3081294,5,6
54,4795338,5,2
77,2895805,3,1
49,4858297,3,4
39,3365744,3,6
49,3488490,4,5
76,4611252,3,1
53,2970074,2,5
48,4467590,1,2
61,5301490,4,2
54,5325304,4,5
56,4558517,4,3
61,4790114,4,1
70,3427948,2,3
21,3960694,3,5
18,4003977,1,1
20,3876612,5,2
79,4089414,3,2
56,4398356,2,3
20,3394367,3,1
32,3376981,3,1
66,4690817,2,6
53,3776290,2,6
20,3750526,2,5
20,3031975,5,4
48,3111303,2,2
46,3703818,3,5
45,4387394,2,3
74,3469921,2,6
27,4118590,3,4
34,4601815,2,3
49,4578841,5,5
58,3292151,5,3
71,3850084,4,2
77,3839364,4,4
30,4629676,2,1
50,4508815,1,1
45,4182474,5,2
43,3992814,2,5
59,3281327,1,4
28,2960521,3,6
78,3528486,1,6
52,3118179,3,6
42,2635761,1,4
20,2269184,2,4
21,4051243,5,5
60,4113388,1,2
73,3218407,5,3
68,4015696,2,6
18,3083435,1,5
23,4292299,5,2
73,3213364,4,1
57,2765653,2,6
72,5017044,5,2
20,4093903,5,4
39,4230632,2,4
52,3814119,5,1
42,3909514,1,6
60,2528679,1,3
48,2617289,2,3
21,4138214,1,4
29,2951863,5,4
18,4073461,4,5
49,4233047,5,3
24,4099757,4,5
57,3381934,4,1
51,3478205,1,3
75,3100288,2,5
27,3504045,1,3
39,3267309,5,1
49,3717797,3,5
78,3994497,2,2
78,2560838,3,5
73,5677417,1,2
76,4729316,5,6
56,5680682,3,3
28,3641057,2,2
61,4862664,2,4
66,3837657,1,3
44,3783382,2,4
57,4483008,1,4
39,4061216,5,4
78,4848718,1,2
51,3645883,1,4
27,4760576,4,2
39,3598423,1,3
56,4499097,2,4
77,4305897,2,6
48,4377141,5,3
38,4294194,5,4
53,5410208,2,6
43,4231973,5,5
51,3686313,2,1
37,3882703,1,5
79,3499074,4,6
79,5865673,4,5
52,5414136,4,1
72,4552283,3,3
51,2841326,4,2
25,3414333,1,3
66,3647539,1,4
22,3176657,4,4
49,2848246,4,6
66,5668440,1,3
37,4111734,5,6
41,4499757,4,1
68,5167024,3,5
60,4252604,5,1
79,4495560,4,5
43,3327799,3,5
71,1449169,1,2
59,3127192,3,3
65,4291405,3,4
78,4393411,4,6
23,4879035,4,2
80,4410279,1,1
69,3582813,3,2
55,2397487,2,4
54,3900538,3,4
73,2818371,4,2
72,4407781,5,1
34,5845187,4,3
49,5090095,4,3
18,3085208,4,4
77,3972709,1,1
71,2511072,5,4
33,4696957,3,3
47,2408754,4,6
21,6004620,5,4
75,5132001,3,3
37,4132458,1,6
64,5098889,4,1
23,5305579,4,4
26,5128285,1,5
70,3328385,5,2
53,3217789,3,3
66,3093482,4,4
45,3266975,2,5
19,5039067,2,4
58,2882519,2,2
55,5844169,2,6
69,3389542,4,5
50,4191933,3,1
54,3771293,4,2
62,4011992,5,5
64,3487228,5,3
31,3610487,1,3
29,4950765,3,5
73,3954574,5,3
36,2553180,1,2
77,4843367,1,6
33,4142525,2,3
49,4676202,3,5
21,3845225,3,3
38,4230291,4,1
29,4590156,4,3
60,4526559,1,2
45,2723536,2,1
54,3700154,2,2
74,4689649,1,6
42,4277566,4,3
39,3706390,3,1
56,2225608,3,2
44,4425264,4,2
74,3331140,2,1
73,3415919,5,4
57,4016752,2,5
43,3137679,2,5
23,4281834,2,2
66,4137141,1,6
56,4698679,1,4
59,4427363,4,5
35,3727624,3,2
40,2734968,5,1
25,4812304,2,2
46,4916687,1,6
38,4869400,2,4
29,3801788,3,2
43,4777646,4,1
52,4405316,1,6
67,3230945,1,6
78,4073655,1,3
61,3298622,4,1
69,3710342,1,3
61,4768351,5,2
33,4450628,4,2
65,4303262,2,5
34,3955668,2,4
30,4170228,5,6
29,2583305,3,5
74,4477395,2,2
46,3342340,5,1
23,6116968,5,4
18,4805571,1,1
32,3619546,3,6
31,4066213,3,4
75,5225080,5,4
36,3043264,2,3
66,4453678,4,6
41,4202392,1,6
38,3620909,4,6
27,3179107,3,4
49,4750925,2,2
61,5682167,5,1
43,3194143,1,5
59,3589822,3,6
42,3442710,4,3
25,3866232,4,2
34,3358700,1,4
42,4532209,5,5
74,3216845,3,6
44,5641113,3,5
67,4367069,3,6
75,2881444,4,2
73,4972472,5,1
63,3411922,5,2
24,5225313,1,2
23,4288839,4,2
50,3908968,5,6
43,3862159,2,5
63,4749189,4,6
41,3584061,5,3
35,4659267,1,2
20,4898348,1,3
24,4376725,5,5
47,3237899,2,6
35,3845025,2,2
64,3877921,5,2
19,6648801,2,2
19,4647042,2,3
38,3474072,5,4
72,5345500,5,1
74,4873049,4,6
29,4475879,3,3
48,2203389,2,3
25,2879334,4,5
56,3166076,3,5
53,4439961,4,2
52,3251427,4,6
23,3917873,4,5
72,3345719,1,6
30,2884241,5,2
38,2369562,4,4
75,3252232,3,2
26,3391862,3,2
39,3017576,2,6
45,5424602,4,3
45,3604763,4,3
67,3661061,1,4
63,4111546,4,1
57,4166594,1,3
52,4268030,3,5
79,5818821,1,3
79,3258636,3,4
43,4168709,5,5
69,4801928,5,1
64,3935652,5,2
49,4182735,1,3
63,5312301,1,3
58,3013876,4,6
73,4040560,3,6
28,4366978,3,2
31,5901030,4,6
53,4661968,5,1
26,3795571,5,2
24,4332946,4,4
26,4532457,3,6
65,3600129,3,4
64,3503784,3,1
32,4530148,2,5
47,4156404,4,2
19,2720796,3,2
18,4458724,5,3
74,4364067,4,1
41,4031353,1,2
66,5027259,2,2
68,2436602,1,4
40,4298857,1,4
79,3733172,2,2
30,3295995,3,4
33,2313803,1,3
26,4978033,3,1
44,4145928,3,4
55,3484533,4,2
35,3662501,3,2
47,4575832,2,3
22,3977736,4,6
71,5238562,5,4
40,4485733,4,2
63,4848377,1,3
31,3913236,3,2
26,3464032,5,5
54,4500337,4,1
57,4414428,3,1
72,4635360,4,2
46,2901789,2,5
75,4939702,1,1
47,3678047,3,3
47,4661245,3,1
71,3848962,4,2
78,4792369,5,5
48,3237430,4,3
62,4100633,1,2
64,4809101,5,1
53,2882884,4,4
29,4614323,5,2
49,2518131,4,2
37,3103552,4,2
31,4042364,5,1
77,4716270,3,1
47,4759620,1,3
51,4498375,3,3
24,3644520,3,5
67,4553060,5,3
20,3380869,5,4
35,4196185,3,4
32,3116920,5,3
36,3681634,2,3
34,5784047,1,1
79,2878991,5,3
69,5462479,1,4
51,3820234,1,1
68,3492046,3,5
80,5751481,3,4
34,4060018,5,6
52,4620116,3,1
51,3662176,3,6
78,2658701,1,4
40,4473541,3,1
71,5398467,1,6
72,4271745,1,3
35,4200383,5,3
39,4119065,4,3
59,3082629,5,3
19,2206789,2,5
43,4355831,2,6
20,4610544,4,1
41,4793995,5,2
18,4366384,2,2
37,3383814,5,3
35,5445742,4,5
76,3460749,5,5
63,3603349,5,2
61,3471651,3,6
79,3919186,3,1
66,4274880,4,3
79,4220107,5,3
66,5540704,3,3
24,2374363,2,3
79,3930472,1,5
60,3123165,2,4
56,3595278,5,2
44,5058487,2,3
46,3540743,2,4
23,4122805,2,2
79,4560108,2,5
32,3464841,5,5
38,3942793,3,4
64,2911702,3,3
46,3030206,3,1
20,3021689,5,6
57,3485947,1,2
66,2930293,4,3
58,4467402,3,2
26,5075993,4,3
20,4693918,4,1
49,4343681,4,3
46,3577100,2,5
44,2429103,4,3
42,3864819,1,4
65,3646389,2,6
75,3771669,2,4
30,2662865,5,6
74,5072041,4,6
76,3713400,2,3
64,4977574,5,6
63,4696415,3,6
34,4007500,5,3
61,4808192,3,2
41,2713203,4,6
67,4513943,5,3
66,3995990,5,1
39,5120793,4,6
64,2987652,4,5
49,2782040,5,4
32,2965688,4,5
70,4005996,4,5
33,4102851,5,1
76,5408117,1,2
23,4097797,2,3
80,3858310,3,2
49,4309894,2,4
64,5154024,2,6
36,4157454,5,6
41,3852407,2,2
25,3013941,2,3
33,3867058,3,1
40,3514028,5,6
53,4061500,2,4
46,4435738,3,5
21,3473135,1,1
78,4652950,1,5
62,3936258,5,6
52,3457057,5,3
58,4675636,4,6
57,2394847,2,5
32,3840414,3,6
43,3839941,5,4
45,3298005,3,2
25,3385558,1,5
45,4779727,4,4
33,4588695,2,3
28,5945123,5,6
35,2968883,4,2
46,2464728,4,1
44,4709137,5,3
43,2973115,2,5
52,4854739,3,1
50,3961210,3,3
29,4745145,3,5
33,4211788,3,5
38,4045378,3,6
38,3836061,1,3
23,3412142,1,2
44,3411077,1,3
64,4925732,1,2
28,4577740,5,3
18,3797807,3,5
60,3282862,1,2
80,4753455,2,3
66,3215612,4,2
72,4047364,4,2
30,2259218,1,1
72,4581953,3,1
80,4001247,5,1
37,3477222,5,3
49,2440636,2,5
34,5285607,4,1
69,3852488,3,5
20,4121478,4,1
67,4843111,2,3
41,3688324,5,4
62,5087052,3,2
64,3348433,1,4
64,2744329,3,1
74,4581635,2,4
34,4040205,5,5
58,4353066,2,4
60,4529273,3,6
80,3687273,5,3
45,2970396,2,3
54,4775799,4,4
26,4531233,5,2
31,5274585,5,2
47,4410754,3,1
34,3571896,4,6
66,2519471,5,5
77,4242749,1,2
74,3470948,2,6
20,4060288,3,1
49,2937927,5,6
43,3175732,2,4
76,3380801,2,1
24,4212316,4,4
29,4323792,5,6
29,5024230,2,6
19,3387844,1,4
79,4828092,4,3
30,3328951,5,3
47,3447933,4,6
62,2178967,1,4
40,3805623,2,1
68,4596140,5,6
26,4052201,4,4
39,4329279,4,4
67,5437197,1,1
68,3895711,1,4
64,3375524,3,1
39,4595230,2,5
22,2595263,4,6
72,5460191,4,4
28,4632484,5,6
67,3956604,4,2
35,3853663,2,2
40,5194368,1,3
79,4959550,2,5
58,3284332,4,5
36,3156249,5,5
53,3602077,4,2
45,4648501,2,2
52,3478355,3,6
63,3831259,4,1
36,2444872,4,6
26,5064139,2,3
36,2928107,5,6
45,2574435,4,2
71,4386824,2,5
60,3636119,3,1
57,3968592,3,1
70,3308044,4,3
46,3247517,5,3
35,2923937,1,4
47,4517417,2,6
66,4222123,1,1
46,3872430,1,1
76,3508808,3,6
72,4046775,3,6
23,1911779,4,5
64,3619703,2,5
74,4415080,2,1
27,4349461,4,5
25,2878863,4,2
67,3184637,4,5
80,4617289,3,2
21,2030890,3,3
77,3669807,2,4
38,2870325,2,5
78,4107252,2,5
46,3750413,2,2
78,4581306,2,4
30,3873570,1,5
43,3940150,4,3
59,4253600,5,4
56,3797564,5,6
51,3504055,1,6
79,3710135,3,3
30,3370903,3,1
18,3801732,4,2
49,3915663,1,6
46,5287447,4,2
53,3632892,5,2
37,4095255,5,2
42,2148272,4,4
40,3143833,5,3
47,4290307,3,4
56,5212851,5,6
70,3307293,4,2
22,4181630,1,2
18,2219504,4,2
30,2335688,1,6
52,2564330,5,1
25,4411201,1,5
73,2833970,2,6
38,4261140,4,4
46,4555445,2,1
27,2866163,3,5
79,4296495,5,5
52,3446488,2,5
72,3752618,5,2
28,5146631,1,6
21,4025564,5,6
68,3226499,4,5
52,3237642,1,1
37,3449154,5,1
46,4441117,1,3
70,4416575,2,6
19,3490466,1,1
65,3546638,3,2
33,3492865,4,4
40,2991727,2,2
19,4230269,1,5
23,4233941,3,4
23,2512872,3,2
29,4700245,1,1
27,4285039,1,3
41,2679606,4,2
