"edad","ingreso_total","nivel_estudio","tamaño_hogar"
31,3860403,5,3
44,2896243,4,3
23,2854778,4,4
24,3017175,5,4
73,4933404,4,1
49,3756387,5,3
48,5109528,5,4
48,5018988,5,1
42,3861334,5,5
40,4107473,5,6
36,3484977,4,2
77,1323867,4,4
47,3581762,5,5
35,4134229,4,5
42,5100192,5,5
21,4466533,5,3
26,3753940,5,3
55,3875912,4,1
78,3965043,5,4
46,3301687,4,4
32,4097009,5,6
63,4352092,5,2
43,2809532,4,4
24,3448326,5,5
52,5792401,4,4
31,3788832,4,5
80,4406386,4,3
23,4435640,4,2
27,5302015,4,2
20,3766395,4,6
77,4997214,4,5
45,4753736,4,3
33,4582051,5,6
22,2693176,4,5
23,3696396,5,6
55,4338119,5,5
80,2936772,5,5
18,5243844,4,6
72,5378586,5,4
70,4674900,4,3
78,4631208,4,2
32,4762369,4,2
73,5107717,4,4
69,3780225,5,1
37,3755906,5,6
42,4180999,5,3
71,3388527,5,4
63,4420599,5,1
53,4204659,4,4
62,3464847,4,1
41,5561082,5,3
45,5484513,4,2
62,3387397,5,4
63,3896193,4,1
66,5002354,4,3
61,4480883,5,2
73,2683486,4,4
54,4544241,4,3
45,3013433,4,4
80,3871154,4,6
63,3750533,4,1
78,4576317,5,5
22,3331226,5,6
41,5689669,4,6
39,3422376,4,3
67,2726291,5,6
38,4621481,4,2
66,2644059,5,5
36,3134616,5,5
41,3417784,4,5
64,4642018,4,3
60,3081294,5,6
54,4795338,5,2
49,3488490,4,5
61,5301490,4,2
54,5325304,4,5
56,4558517,4,3
61,4790114,4,1
20,3876612,5,2
20,3031975,5,4
49,4578841,5,5
58,3292151,5,3
71,3850084,4,2
77,3839364,4,4
45,4182474,5,2
21,4051243,5,5
73,3218407,5,3
23,4292299,5,2
73,3213364,4,1
72,5017044,5,2
20,4093903,5,4
52,3814119,5,1
29,2951863,5,4
18,4073461,4,5
49,4233047,5,3
24,4099757,4,5
57,3381934,4,1
39,3267309,5,1
76,4729316,5,6
39,4061216,5,4
27,4760576,4,2
48,4377141,5,3
38,4294194,5,4
43,4231973,5,5
79,3499074,4,6
79,5865673,4,5
52,5414136,4,1
51,2841326,4,2
22,3176657,4,4
49,2848246,4,6
37,4111734,5,6
41,4499757,4,1
60,4252604,5,1
79,4495560,4,5
78,4393411,4,6
23,4879035,4,2
73,2818371,4,2
72,4407781,5,1
34,5845187,4,3
49,5090095,4,3
18,3085208,4,4
71,2511072,5,4
47,2408754,4,6
21,6004620,5,4
64,5098889,4,1
23,5305579,4,4
70,3328385,5,2
66,3093482,4,4
69,3389542,4,5
54,3771293,4,2
62,4011992,5,5
64,3487228,5,3
73,3954574,5,3
38,4230291,4,1
29,4590156,4,3
42,4277566,4,3
44,4425264,4,2
73,3415919,5,4
59,4427363,4,5
40,2734968,5,1
43,4777646,4,1
61,3298622,4,1
61,4768351,5,2
33,4450628,4,2
30,4170228,5,6
46,3342340,5,1
23,6116968,5,4
75,5225080,5,4
66,4453678,4,6
38,3620909,4,6
61,5682167,5,1
42,3442710,4,3
25,3866232,4,2
42,4532209,5,5
75,2881444,4,2
73,4972472,5,1
63,3411922,5,2
23,4288839,4,2
50,3908968,5,6
63,4749189,4,6
41,3584061,5,3
24,4376725,5,5
64,3877921,5,2
38,3474072,5,4
72,5345500,5,1
74,4873049,4,6
25,2879334,4,5
53,4439961,4,2
52,3251427,4,6
23,3917873,4,5
30,2884241,5,2
38,2369562,4,4
45,5424602,4,3
45,3604763,4,3
63,4111546,4,1
43,4168709,5,5
69,4801928,5,1
64,3935652,5,2
58,3013876,4,6
31,5901030,4,6
53,4661968,5,1
26,3795571,5,2
24,4332946,4,4
47,4156404,4,2
18,4458724,5,3
74,4364067,4,1
55,3484533,4,2
22,3977736,4,6
71,5238562,5,4
40,4485733,4,2
26,3464032,5,5
54,4500337,4,1
72,4635360,4,2
71,3848962,4,2
78,4792369,5,5
48,3237430,4,3
64,4809101,5,1
53,2882884,4,4
29,4614323,5,2
49,2518131,4,2
37,3103552,4,2
31,4042364,5,1
67,4553060,5,3
20,3380869,5,4
32,3116920,5,3
79,2878991,5,3
34,4060018,5,6
35,4200383,5,3
39,4119065,4,3
59,3082629,5,3
20,4610544,4,1
41,4793995,5,2
37,3383814,5,3
35,5445742,4,5
76,3460749,5,5
63,3603349,5,2
66,4274880,4,3
79,4220107,5,3
56,3595278,5,2
32,3464841,5,5
20,3021689,5,6
66,2930293,4,3
26,5075993,4,3
20,4693918,4,1
49,4343681,4,3
44,2429103,4,3
30,2662865,5,6
74,5072041,4,6
64,4977574,5,6
34,4007500,5,3
41,2713203,4,6
67,4513943,5,3
66,3995990,5,1
39,5120793,4,6
64,2987652,4,5
49,2782040,5,4
32,2965688,4,5
70,4005996,4,5
33,4102851,5,1
36,4157454,5,6
40,3514028,5,6
62,3936258,5,6
52,3457057,5,3
58,4675636,4,6
43,3839941,5,4
45,4779727,4,4
28,5945123,5,6
35,2968883,4,2
46,2464728,4,1
44,4709137,5,3
28,4577740,5,3
66,3215612,4,2
72,4047364,4,2
80,4001247,5,1
37,3477222,5,3
34,5285607,4,1
20,4121478,4,1
41,3688324,5,4
34,4040205,5,5
80,3687273,5,3
54,4775799,4,4
26,4531233,5,2
31,5274585,5,2
34,3571896,4,6
66,2519471,5,5
49,2937927,5,6
24,4212316,4,4
29,4323792,5,6
79,4828092,4,3
30,3328951,5,3
47,3447933,4,6
68,4596140,5,6
26,4052201,4,4
39,4329279,4,4
22,2595263,4,6
72,5460191,4,4
28,4632484,5,6
67,3956604,4,2
58,3284332,4,5
36,3156249,5,5
53,3602077,4,2
63,3831259,4,1
36,2444872,4,6
36,2928107,5,6
45,2574435,4,2
70,3308044,4,3
46,3247517,5,3
23,1911779,4,5
27,4349461,4,5
25,2878863,4,2
67,3184637,4,5
43,3940150,4,3
59,4253600,5,4
56,3797564,5,6
18,3801732,4,2
46,5287447,4,2
53,3632892,5,2
37,4095255,5,2
42,2148272,4,4
40,3143833,5,3
56,5212851,5,6
70,3307293,4,2
18,2219504,4,2
52,2564330,5,1
38,4261140,4,4
79,4296495,5,5
72,3752618,5,2
21,4025564,5,6
68,3226499,4,5
37,3449154,5,1
33,3492865,4,4
41,2679606,4,2
23,5785070,4,5
77,4095067,5,1
53,3158729,4,6
49,5485425,4,3
66,4300786,5,1
77,3560984,4,6
27,3569589,5,5
56,3234377,5,6
20,4141829,5,5
75,5084587,4,3
43,5361687,4,6
78,2854844,4,5
49,5027122,5,6
77,3843214,5,5
52,3294898,4,2
38,3726639,5,6
55,4928580,5,2
79,4682856,4,6
34,3870068,4,1
35,4664487,4,3
24,3015149,5,5
72,1459923,5,3
53,5193891,4,2
48,4272934,5,3
61,5181197,4,2
52,3279050,5,3
71,3662038,5,3
64,3510414,4,5
37,4418081,5,5
46,4815420,5,3
66,3810324,5,2
49,3783974,5,1
52,4202911,4,1
34,4168768,4,4
40,3260925,4,5
72,2318793,4,4
37,4477952,4,2
64,3806163,4,6
63,3748918,5,2
79,3837408,4,6
21,3460230,4,3
62,3868407,5,2
56,3653351,4,5
50,2367480,4,5
69,4030897,5,5
32,4242188,5,2
60,5039825,4,1
20,4598222,4,3
70,2922705,4,5
51,4427873,4,4
75,3017779,4,2
70,4619509,4,5
44,5011845,5,6
50,3891322,4,5
32,4171623,4,2
32,2554714,4,3
26,5202121,4,5
40,4399813,4,5
45,5600607,4,6
58,2683436,5,5
23,4355106,5,1
23,5371418,5,4
29,4231413,5,1
46,2987825,5,1
57,4202247,5,1
64,3487340,4,3
31,3758361,5,2
44,2764929,5,4
34,4294228,5,3
50,4568561,5,3
52,4012893,5,4
43,4727985,4,6
24,4182622,4,6
68,4621268,5,3
28,5123204,5,5
44,2690080,4,2
64,4654476,5,4
48,4738801,5,6
29,3812294,5,6
69,5319486,4,5
53,3146789,4,5
20,3516072,4,3
59,2951217,4,6
51,3919883,5,3
26,4963918,4,4
50,3302311,5,4
70,2399639,5,5
67,4773663,4,1
44,5130794,4,6
53,3959248,5,3
74,3253272,5,4
23,3855472,4,3
79,4569165,4,3
44,4555468,5,4
70,3376708,4,2
54,4997849,5,5
72,3261539,4,3
67,3253394,5,3
79,3974185,5,6
53,3370723,4,2
42,3860606,5,4
59,2001054,4,1
58,3801383,5,6
37,3544662,4,6
76,3722603,4,6
77,4878111,5,2
76,5368171,5,2
51,3151345,5,6
24,3881393,4,1
49,2925040,5,6
45,3327280,5,3
62,4866493,5,2
58,5245476,4,2
30,3266900,4,1
28,3755415,4,5
51,3775098,4,6
28,3759195,5,1
34,4082496,5,5
42,4516914,5,5
30,4062541,4,5
52,3376364,4,3
47,3579491,4,1
67,3888360,5,5
47,3090924,4,4
18,3786004,4,2
73,4847576,4,2
37,2480180,5,6
35,5388474,5,5
31,2905680,4,6
34,6019266,5,3
42,3284823,5,3
70,4490852,4,5
71,2937937,5,1
36,4110663,4,3
44,4283210,5,3
48,3578480,4,3
72,4808459,5,3
78,4517933,4,6
41,3109100,5,5
49,3566059,4,2
42,3770592,4,4
60,3530117,4,2
37,3771557,4,4
57,4156195,5,1
60,3345971,5,2
66,3254062,5,3
61,4276572,4,5
79,3942934,4,3
62,5165629,4,4
36,4126482,5,6
40,4030052,4,3
78,4950513,5,1
62,3652334,4,1
63,4651683,5,6
43,3809898,4,2
67,4578438,5,2
55,2748690,4,5
38,3844218,4,3
69,3672763,5,1
42,3555613,4,4
38,4967200,4,1
54,3914422,4,5
39,3724029,4,3
79,3053226,4,2
59,4148751,5,5
53,4273972,5,3
26,2450607,5,3
18,4366228,5,5
54,4064439,4,1
64,2922036,4,5
48,3871433,4,4
59,3748569,4,6
28,4370866,4,3
69,4485911,5,4
72,5039912,4,3
46,4710113,4,1
56,5480128,5,2
60,3288494,4,2
25,3852081,4,1
21,4366121,5,6
29,4344565,5,2
35,3999933,4,4
63,3251226,5,6
24,3974661,5,1
69,4407178,4,6
44,4900781,5,2
59,3830016,4,1
71,3999119,5,2
78,3455279,4,5
66,3502018,4,1
38,3871644,4,3
66,5199815,5,2
33,4285043,5,4
56,3655953,5,5
18,3464691,4,2
67,3268433,4,1
55,4748500,4,3
55,3462486,5,1
57,3432717,4,4
33,3426237,4,6
71,4068139,4,2
44,3005767,4,6
37,3676808,4,6
34,3825102,5,4
41,3612105,5,1
49,4124149,5,5
69,3947612,5,1
76,3486245,5,6
55,3912399,5,6
35,5477903,4,2
22,4182102,4,3
75,3892374,4,1
38,4458051,5,2
71,5408118,4,6
51,3885159,5,6
22,3598856,5,5
75,3758688,5,1
35,3568154,5,5
39,4511422,5,3
60,4790165,4,3
62,4126842,4,6
65,5129097,5,2
70,4132370,4,5
46,3814269,5,4
33,3361317,5,3
35,3618348,4,2
60,4739442,4,2
31,2314226,5,1
20,5347526,4,3
31,5316287,4,2
56,3549288,4,2
67,3927775,5,4
40,4288427,5,2
29,3840322,4,2
23,3856542,5,6
28,4488468,5,4
75,3805786,4,4
42,3783888,4,5
72,3414159,4,4
30,4011393,4,6
25,5209692,5,3
48,4206845,5,1
57,4613341,5,3
72,3677162,4,4
57,4602951,4,1
68,4758905,5,1
38,4832633,5,1
59,3044465,4,5
41,4499938,4,5
26,4063114,4,3
47,4787783,5,5
77,3654613,4,6
72,4342334,5,6
73,2944222,4,1
58,3449955,5,4
20,4730265,5,4
36,3896170,5,4
60,4996405,4,6
61,3093857,4,6
53,2700609,5,6
23,4030890,4,1
50,4180681,4,4
36,4141255,4,4
43,3449949,5,2
63,4161149,5,6
53,3951235,5,5
41,5445587,4,2
48,2459577,4,1
72,3717004,5,2
51,3316622,5,6
50,3337039,4,4
59,3345635,5,2
48,3467032,4,2
25,4555147,4,1
45,4904260,4,4
25,4192422,4,3
27,4934445,4,1
55,2814083,4,4
75,2803571,5,1
71,4862695,4,5
18,5197564,4,2
62,4557723,4,3
42,5708768,5,5
76,4774635,5,5
58,3106512,4,1
66,3665943,5,5
55,4889260,5,5
71,5048109,4,4
47,5195196,5,6
79,4457469,4,2
66,2747351,5,2
40,2369802,5,5
79,4487912,4,1
27,2641765,4,4
61,4416137,5,6
54,5793073,4,4
80,4478983,5,6
44,4624226,5,4
72,3863762,4,2
44,4157049,5,4
37,3203455,4,2
61,3258430,5,2
37,3817004,5,5
52,3999402,5,4
60,4315671,5,5
44,4453569,4,5
41,4276305,4,1
37,3850110,5,6
49,5957764,4,3
38,4401674,4,1
29,4294355,4,6
50,4569293,5,5
55,2580932,4,4
55,4160484,4,3
65,4245501,4,1
65,4756575,5,4
46,3492197,5,5
47,2055596,5,6
76,3784703,4,4
69,3024713,4,5
38,3751876,5,6
57,3597776,4,2
26,3888067,5,2
27,4244155,5,4
67,5485278,5,3
68,2640894,5,6
52,3308262,5,6
20,4385105,4,4
77,2705712,4,3
57,4154577,5,2
55,4295118,5,4
24,4236519,4,3
58,3561141,4,3
64,2773511,4,3
43,3366551,5,5
34,2837571,5,4
73,5322177,5,2
61,4896484,4,1
77,2949216,4,2
64,4547718,5,6
36,3349951,5,5
68,3805178,4,5
80,3869800,5,6
44,2293977,5,3
24,3834941,5,2
30,4059865,4,6
61,5498675,5,2
67,5425378,5,6
31,2884353,4,4
50,2993585,4,1
37,4298384,5,1
36,4234678,5,6
78,2855008,5,4
33,4087370,4,2
48,3431324,5,4
62,2929812,4,6
30,3634784,4,4
26,3060714,5,5
33,3791500,4,3
58,4544579,4,4
74,4167716,5,2
32,3515481,5,1
35,4507193,5,5
55,3444915,5,6
26,3286453,5,6
56,3317066,4,2
44,3630897,4,3
62,3737459,4,2
39,2936475,4,3
57,4980583,5,6
24,4867357,5,4
74,3981296,4,1
31,4125693,5,4
23,4008881,5,2
30,3489492,5,5
26,4847045,5,5
43,2351647,5,1
64,3677394,4,1
75,3419725,4,1
74,3036760,5,5
74,4686957,5,6
35,5116844,4,2
50,3594105,4,4
78,3688510,5,6
18,4860928,4,5
74,2876905,5,5
53,4154470,4,3
37,3888846,5,4
24,4387129,5,6
56,3665922,4,5
30,3439908,4,2
50,4045498,4,2
42,3927449,5,2
22,3581396,4,4
55,4238876,5,5
63,5107966,4,6
66,3104345,4,1
33,4250872,4,1
60,4316288,4,4
64,4350094,4,4
72,3884052,5,4
24,3806637,4,5
73,4117684,4,2
58,4024298,4,6
45,3112172,4,3
22,3953200,4,1
44,3607800,4,5
30,4026816,4,1
53,4070231,5,2
61,3738642,4,4
53,3752717,4,3
73,3661621,5,5
76,4865828,4,2
36,3007946,5,1
41,4343215,5,3
76,3448159,5,1
57,5208999,5,4
33,3169033,4,2
43,4173125,5,4
35,3387041,5,6
25,5109156,4,5
64,3623532,5,4
21,5649578,4,6
25,3937127,4,4
43,3378762,4,4
57,3326648,4,1
26,4307171,4,3
39,3505325,5,2
61,4281894,4,1
61,3401163,5,5
53,2963401,4,4
61,4430988,5,5
61,3539303,5,2
39,3801146,5,3
22,3293054,5,1
54,3776402,4,6
28,3752562,4,4
41,4219101,5,3
47,3368547,4,3
20,4526441,4,3
20,4662835,4,5
69,5472017,4,6
43,5800437,5,2
39,3858682,4,2
50,4689677,5,5
54,3948825,4,6
34,5648883,4,5
47,2224624,4,3
18,5125572,4,4
28,4303050,5,6
69,5028327,5,2
63,4226482,4,4
74,3475530,5,1
55,3464323,4,4
57,3647908,5,1
24,4566523,4,4
74,3804742,4,3
42,3303625,4,3
36,3604007,5,5
29,4047864,4,1
64,3799680,4,5
44,5817153,5,5
72,5102198,5,4
24,4786242,4,3
57,4244640,4,5
22,4152195,5,1
79,3333426,5,6
56,3363075,4,2
18,3738645,4,2
63,3862358,5,6
38,3913657,4,5
38,3751568,4,1
77,3849835,5,6
71,5434737,5,6
63,4112986,4,1
18,4979126,5,2
70,4415372,5,1
63,4605604,5,1
80,4407508,5,1
66,3609256,5,1
33,4369773,5,3
74,2849586,4,5
49,3176141,5,5
52,3859681,5,2
71,5303067,4,6
47,3357702,4,1
40,3058226,5,6
63,4785282,4,1
57,3392607,5,2
23,3954017,5,5
58,5234731,4,5
56,3293163,4,4
77,5520721,4,4
60,4469931,5,4
60,2330299,5,3
31,5256672,5,2
58,4205223,4,4
29,4362123,4,3
55,3804318,5,2
41,4629316,4,4
34,3127748,4,2
77,1953819,4,1
56,3369440,5,4
57,5616978,5,1
27,3808214,5,1
26,4269502,5,3
60,3988916,4,1
41,3210821,5,1
26,5571939,4,3
19,2955557,4,2
46,4564926,4,6
60,3479442,5,1
52,3337270,4,3
58,3448647,5,6
33,3922461,5,4
72,4543534,4,1
75,3880669,4,6
80,3426049,4,3
75,5371744,4,3
20,3971338,5,1
80,4740489,5,2
37,4231311,4,4
32,2958159,4,4
37,4151685,4,6
25,2258896,4,6
57,4617174,5,6
64,4958687,5,5
69,4892505,5,5
55,3416073,4,3
79,4733825,5,5
32,4557147,4,5
80,4287637,4,4
32,4443861,5,2
70,4918439,4,5
24,2944116,5,3
21,3530811,5,4
31,2555826,4,2
59,3702231,4,4
35,4666041,4,3
29,5678137,5,1
47,4258535,5,3
43,3621508,5,5
46,3982872,4,5
56,2412926,4,4
77,2973834,4,2
54,3519827,4,5
27,5566382,4,6
34,3847276,5,3
50,4487353,4,2
48,5795941,4,5
50,3374886,5,2
40,5154568,5,6
78,4182277,4,2
74,3732410,5,3
52,3052444,4,2
73,2438527,4,4
26,4667099,4,5
54,4224664,5,3
36,3892507,5,2
59,4844643,5,5
48,4500383,4,2
78,3604221,5,5
37,4305878,4,3
51,3937784,5,3
75,5055987,5,6
77,3460922,5,4
28,4903825,4,5
46,4622947,5,3
18,4771629,5,4
71,3011967,5,3
26,5164565,4,3
53,4164063,5,3
19,4918832,5,4
64,2818114,5,4
61,3509566,4,3
49,3421313,5,2
65,5296800,5,5
21,5955714,4,4
47,4968978,5,4
70,4639477,4,4
20,4363597,4,3
19,4120604,5,6
63,3853955,4,3
62,3898203,4,6
57,4875021,4,3
76,5097387,5,2
61,4485091,4,3
43,4951187,4,3
80,4700312,5,5
42,3923996,5,1
53,3528602,4,4
75,4383880,4,2
65,4550567,4,3
32,3128443,5,6
35,3861414,4,6
41,2614017,5,5
38,4592097,5,5
35,3706067,4,3
32,3140436,5,2
78,4837953,4,1
49,3608433,5,3
65,5469198,4,2
26,4553588,4,6
59,4276983,4,4
73,3319406,5,2
72,4852124,5,3
75,5592987,5,4
48,4869853,5,5
76,3920504,5,3
32,3859718,4,4
46,3618418,4,5
26,5700634,5,6
34,3787384,4,5
68,4792897,4,2
28,2539889,5,6
35,4304294,4,3
26,4197388,5,6
63,5138921,4,3
66,3970730,4,5
54,3037308,5,1
27,2821236,4,2
21,3144339,5,5
39,4986017,5,5
75,4448441,5,5
41,4443756,5,5
76,4302589,4,4
44,3129596,4,1
19,2830567,5,6
70,3170256,5,1
52,3072156,4,5
31,2111256,4,3
79,3875176,4,5
22,3205599,4,5
69,4320591,4,2
48,4712070,5,4
67,3716240,5,3
53,4478320,5,2
40,4094497,5,3
30,5269726,5,3
38,4547725,5,2
36,3684457,4,3
48,3452237,5,5
44,4692387,5,3
32,4450428,4,6
69,4866990,4,3
50,4640010,4,4
68,4485355,4,3
32,4042412,4,6
77,4165880,4,6
61,3376016,4,1
34,3639342,5,2
73,4370712,4,6
31,3491111,5,6
32,5117484,5,2
74,4486900,4,6
56,3901943,4,4
52,3012122,4,4
56,3282389,4,4
52,4148166,4,3
58,3123600,4,6
43,3870168,4,4
68,3193337,5,2
43,2868133,4,5
34,3715192,4,2
59,3940893,4,1
46,5242945,5,6
36,3273757,4,4
64,4215575,5,6
43,5532281,5,1
35,3427097,5,1
24,3583120,5,5
77,5260663,4,4
50,3446320,4,3
34,5168815,4,4
25,5084815,4,2
61,3430490,5,2
36,2170050,5,5
31,5607858,4,6
59,4413476,5,5
80,5234896,5,3
21,4881754,5,1
32,4614045,5,1
31,3915495,5,4
59,4156190,5,1
47,4210039,4,3
32,4856348,4,3
38,4500297,4,3
72,4175020,5,5
44,3400690,4,6
30,4426529,5,5
68,3860478,5,4
29,4759819,5,4
36,4995060,5,6
80,5244076,4,5
35,3308761,5,3
42,4397482,4,6
67,3543319,5,5
36,3573453,4,4
42,3794386,5,2
71,3837492,4,5
67,5054722,5,1
27,3475544,4,1
57,3643280,4,3
75,2451764,5,4
26,4094056,5,6
23,3367507,5,2
51,3341350,5,5
44,3567489,5,4
21,4622802,4,6
41,3547764,5,3
22,3518678,5,6
43,4711332,5,1
52,3553703,4,2
43,3832781,4,3
56,5394494,5,2
67,4027080,5,3
35,3197174,4,6
77,3413976,5,5
80,3712151,4,2
20,2786232,4,5
30,3108833,4,3
45,3499005,5,2
42,3222601,4,6
76,4317611,5,5
37,3672663,4,3
21,3037416,5,3
26,3451035,5,4
77,3149644,5,2
55,3015207,5,5
20,3009159,4,5
47,2202393,4,4
66,4048902,4,3
80,2627619,4,1
22,4066953,5,1
44,3940239,4,5
28,3160428,4,2
28,3668948,4,1
66,3909846,4,1
36,5833146,4,6
59,4252418,4,3
71,6577194,4,4
36,3620777,4,4
35,2835456,5,3
79,4257427,5,6
80,4674206,4,4
56,5503892,5,5
79,3074324,4,4
32,2972551,5,5
19,5027879,5,6
56,2895145,4,6
68,3754284,4,6
43,4774318,4,4
32,3912758,5,6
28,3453146,5,6
77,3422619,4,5
36,4882099,5,4
36,3609421,5,1
60,3065885,5,2
43,3954199,4,4
19,4106501,5,4
19,3698015,4,5
20,4168057,4,1
58,4197529,4,2
63,4952268,4,5
32,4393697,4,2
53,5402209,4,3
77,5348075,4,1
79,4143148,4,5
41,3150059,4,2
67,3294094,5,5
37,3525871,4,4
41,4385395,4,4
35,4699248,4,6
49,4332796,4,1
34,5028596,4,6
56,4482725,4,5
29,3821804,5,3
58,4741294,4,1
46,4044580,4,1
54,4566317,5,1
52,3114881,5,1
43,5009927,5,3
22,5103905,4,6
75,5118785,5,2
21,3631047,5,6
55,3708481,5,3
42,3466786,5,5
40,2965827,4,5
43,4035994,4,3
51,4534530,4,6
45,3586591,5,5
77,4462171,4,3
36,3288903,5,1
